Date : 2025-06-18 21:30:48
Directory : c:\Users\ashis\bytecraft
Total : 95 files,  15993 codes, 159 comments, 740 blanks, all 16892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\test (Files)                                                            |          1 |         13 |          9 |          2 |         24 |
| app\test\test1                                                              |          1 |         15 |          0 |          2 |         17 |
| components                                                                  |         46 |      3,042 |         37 |        303 |      3,382 |
| components (Files)                                                          |          3 |        147 |          5 |         22 |        174 |
| components\ai                                                               |          1 |        327 |          0 |         14 |        341 |
| components\global                                                           |          4 |         61 |          0 |          8 |         69 |
| components\home                                                             |          3 |        209 |          1 |          8 |        218 |
| components\navbar                                                           |          7 |        155 |          1 |          8 |        164 |
| components\products                                                         |          6 |        651 |         30 |         56 |        737 |
| components\single-product                                                   |          3 |         71 |          0 |         13 |         84 |
| components\ui                                                               |         19 |      1,421 |          0 |        174 |      1,595 |
| lib                                                                         |          2 |          8 |          0 |          4 |         12 |
| prisma                                                                      |          4 |        184 |          1 |          7 |        192 |
| prisma (Files)                                                              |          3 |        173 |          0 |          5 |        178 |
| prisma\migrations                                                           |          1 |         11 |          1 |          2 |         14 |
| prisma\migrations\20250502064432_new                                        |          1 |         11 |          1 |          2 |         14 |
| public                                                                      |          5 |          5 |          0 |          0 |          5 |
| utils                                                                       |          9 |      2,015 |         99 |         71 |      2,185 |
| utils (Files)                                                               |          5 |         77 |          0 |         17 |         94 |
| utils\client                                                                |          4 |      1,938 |         99 |         54 |      2,091 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ashis\bytecraft\README.md                                          | Markdown           |      1,307 |          0 |        263 |      1,570 |
| c:\Users\ashis\bytecraft\app.json                                           | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\ashis\bytecraft\app\about\page.tsx                                 | TypeScript JSX     |         19 |          0 |          0 |         19 |
| c:\Users\ashis\bytecraft\app\admin\page.tsx                                 | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\app\api\checkout_session\route.ts                  | TypeScript         |         34 |          1 |          4 |         39 |
| c:\Users\ashis\bytecraft\app\api\mcp\route.ts                               | TypeScript         |         14 |          1 |          2 |         17 |
| c:\Users\ashis\bytecraft\app\api\prods\route.ts                             | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\ashis\bytecraft\app\api\singleprod\route.ts                        | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\ashis\bytecraft\app\cart\page.tsx                                  | TypeScript JSX     |        170 |          0 |         17 |        187 |
| c:\Users\ashis\bytecraft\app\favorites\page.tsx                             | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\ashis\bytecraft\app\globals.css                                    | PostCSS            |        140 |          4 |         15 |        159 |
| c:\Users\ashis\bytecraft\app\layout.tsx                                     | TypeScript JSX     |         37 |          0 |          2 |         39 |
| c:\Users\ashis\bytecraft\app\orders\page.tsx                                | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\app\page.tsx                                       | TypeScript JSX     |         15 |          0 |          0 |         15 |
| c:\Users\ashis\bytecraft\app\products\[id]\page.tsx                         | TypeScript JSX     |         48 |          2 |          5 |         55 |
| c:\Users\ashis\bytecraft\app\products\page.tsx                              | TypeScript JSX     |         18 |          0 |          2 |         20 |
| c:\Users\ashis\bytecraft\app\providers.tsx                                  | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\ashis\bytecraft\app\reviews\page.tsx                               | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\app\success\page.tsx                               | TypeScript JSX     |         34 |          1 |          8 |         43 |
| c:\Users\ashis\bytecraft\app\test\page.tsx                                  | TypeScript JSX     |         13 |          9 |          2 |         24 |
| c:\Users\ashis\bytecraft\app\test\test1\page.tsx                            | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\ashis\bytecraft\components.json                                    | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\ashis\bytecraft\components\CartContext.tsx                         | TypeScript JSX     |         57 |          0 |          7 |         64 |
| c:\Users\ashis\bytecraft\components\FavoriteContext.tsx                     | TypeScript JSX     |         44 |          0 |         11 |         55 |
| c:\Users\ashis\bytecraft\components\FavoriteLoader.tsx                      | TypeScript JSX     |         46 |          5 |          4 |         55 |
| c:\Users\ashis\bytecraft\components\ai\AiChat.tsx                           | TypeScript JSX     |        327 |          0 |         14 |        341 |
| c:\Users\ashis\bytecraft\components\global\Container.tsx                    | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\ashis\bytecraft\components\global\EmptyList.tsx                    | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\ashis\bytecraft\components\global\LoadingContainer.tsx             | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\ashis\bytecraft\components\global\SectionTitle.tsx                 | TypeScript JSX     |         12 |          0 |          1 |         13 |
| c:\Users\ashis\bytecraft\components\home\FeaturedProducts.tsx               | TypeScript JSX     |         15 |          0 |          0 |         15 |
| c:\Users\ashis\bytecraft\components\home\Hero.tsx                           | TypeScript JSX     |        152 |          1 |          6 |        159 |
| c:\Users\ashis\bytecraft\components\home\HeroCarousel.tsx                   | TypeScript JSX     |         42 |          0 |          2 |         44 |
| c:\Users\ashis\bytecraft\components\navbar\CartButton.tsx                   | TypeScript JSX     |         24 |          1 |          0 |         25 |
| c:\Users\ashis\bytecraft\components\navbar\LinksDropdown.tsx                | TypeScript JSX     |         33 |          0 |          1 |         34 |
| c:\Users\ashis\bytecraft\components\navbar\Logo.tsx                         | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\ashis\bytecraft\components\navbar\NavSearch.tsx                    | TypeScript JSX     |         45 |          0 |          4 |         49 |
| c:\Users\ashis\bytecraft\components\navbar\Navbar.tsx                       | TypeScript JSX     |         28 |          0 |          1 |         29 |
| c:\Users\ashis\bytecraft\components\navbar\SignOutLink.tsx                  | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\components\navbar\UserIcon.tsx                     | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\components\products\FavoriteToggleButton.tsx       | TypeScript JSX     |         32 |          0 |          6 |         38 |
| c:\Users\ashis\bytecraft\components\products\FavoriteToggleForm.tsx         | TypeScript JSX     |          6 |          0 |          0 |          6 |
| c:\Users\ashis\bytecraft\components\products\ProductInfo.tsx                | TypeScript JSX     |        253 |         10 |         21 |        284 |
| c:\Users\ashis\bytecraft\components\products\ProductsContainer.tsx          | TypeScript JSX     |        130 |         10 |         11 |        151 |
| c:\Users\ashis\bytecraft\components\products\ProductsGrid.tsx               | TypeScript JSX     |        179 |          9 |         15 |        203 |
| c:\Users\ashis\bytecraft\components\products\ProductsList.tsx               | TypeScript JSX     |         51 |          1 |          3 |         55 |
| c:\Users\ashis\bytecraft\components\single-product\AddToCart.tsx            | TypeScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\ashis\bytecraft\components\single-product\BreadCrumbs.tsx          | TypeScript JSX     |         32 |          0 |          3 |         35 |
| c:\Users\ashis\bytecraft\components\single-product\ProductRating.tsx        | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\ashis\bytecraft\components\ui\avatar.tsx                           | TypeScript JSX     |         47 |          0 |          7 |         54 |
| c:\Users\ashis\bytecraft\components\ui\badge.tsx                            | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\Users\ashis\bytecraft\components\ui\breadcrumb.tsx                       | TypeScript JSX     |         99 |          0 |         11 |        110 |
| c:\Users\ashis\bytecraft\components\ui\button.tsx                           | TypeScript JSX     |         54 |          0 |          6 |         60 |
| c:\Users\ashis\bytecraft\components\ui\card.tsx                             | TypeScript JSX     |         83 |          0 |         10 |         93 |
| c:\Users\ashis\bytecraft\components\ui\carousel.tsx                         | TypeScript JSX     |        214 |          0 |         28 |        242 |
| c:\Users\ashis\bytecraft\components\ui\checkbox.tsx                         | TypeScript JSX     |         28 |          0 |          5 |         33 |
| c:\Users\ashis\bytecraft\components\ui\dialog.tsx                           | TypeScript JSX     |        130 |          0 |         14 |        144 |
| c:\Users\ashis\bytecraft\components\ui\dropdown-menu.tsx                    | TypeScript JSX     |        239 |          0 |         19 |        258 |
| c:\Users\ashis\bytecraft\components\ui\input.tsx                            | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\ashis\bytecraft\components\ui\label.tsx                            | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\ashis\bytecraft\components\ui\popover.tsx                          | TypeScript JSX     |         41 |          0 |          8 |         49 |
| c:\Users\ashis\bytecraft\components\ui\select.tsx                           | TypeScript JSX     |        172 |          0 |         14 |        186 |
| c:\Users\ashis\bytecraft\components\ui\separator.tsx                        | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\bytecraft\components\ui\skeleton.tsx                         | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\ashis\bytecraft\components\ui\sonner.tsx                           | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\ashis\bytecraft\components\ui\table.tsx                            | TypeScript JSX     |        105 |          0 |         12 |        117 |
| c:\Users\ashis\bytecraft\components\ui\tabs.tsx                             | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\ashis\bytecraft\components\ui\textarea.tsx                         | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\ashis\bytecraft\eslint.config.mjs                                  | JavaScript         |         17 |          1 |          7 |         25 |
| c:\Users\ashis\bytecraft\lib\stripe.ts                                      | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\ashis\bytecraft\lib\utils.ts                                       | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\ashis\bytecraft\middleware.ts                                      | TypeScript         |          8 |          2 |          3 |         13 |
| c:\Users\ashis\bytecraft\next.config.js                                     | JavaScript         |         25 |          1 |          5 |         31 |
| c:\Users\ashis\bytecraft\package-lock.json                                  | JSON               |      8,618 |          0 |          1 |      8,619 |
| c:\Users\ashis\bytecraft\package.json                                       | JSON               |         62 |          0 |          1 |         63 |
| c:\Users\ashis\bytecraft\postcss.config.mjs                                 | JavaScript         |          4 |          0 |          2 |          6 |
| c:\Users\ashis\bytecraft\prisma\migrations\20250502064432_new\migration.sql | MS SQL             |         11 |          1 |          2 |         14 |
| c:\Users\ashis\bytecraft\prisma\products.json                               | JSON               |        134 |          0 |          1 |        135 |
| c:\Users\ashis\bytecraft\prisma\schema.prisma                               | Prisma             |         20 |          0 |          3 |         23 |
| c:\Users\ashis\bytecraft\prisma\seed.cjs                                    | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\ashis\bytecraft\public\file.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\bytecraft\public\globe.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\bytecraft\public\next.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\bytecraft\public\vercel.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\bytecraft\public\window.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\bytecraft\tsconfig.json                                      | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\ashis\bytecraft\utils\Mcp.ts                                       | TypeScript         |         15 |          0 |          6 |         21 |
| c:\Users\ashis\bytecraft\utils\actions.ts                                   | TypeScript         |         32 |          0 |          4 |         36 |
| c:\Users\ashis\bytecraft\utils\client\chat.md                               | Markdown           |         53 |          0 |         21 |         74 |
| c:\Users\ashis\bytecraft\utils\client\index.js                              | JavaScript         |         39 |         99 |         31 |        169 |
| c:\Users\ashis\bytecraft\utils\client\package-lock.json                     | JSON               |      1,832 |          0 |          1 |      1,833 |
| c:\Users\ashis\bytecraft\utils\client\package.json                          | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\ashis\bytecraft\utils\db.ts                                        | TypeScript         |         11 |          0 |          6 |         17 |
| c:\Users\ashis\bytecraft\utils\format.ts                                    | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\ashis\bytecraft\utils\links.ts                                     | TypeScript         |         12 |          0 |          1 |         13 |
| Total                                                                       |                    |     15,993 |        159 |        740 |     16,892 |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
